spend per visit,nights per visit,quarter,dur_stay,mode,purpose
303.4518627,4.469301181,January-March,4-7  nights,Air,VFR
60.50006387,2,January-March,4-7  nights,Air,Study
407.0918011,4.469301181,January-March,4-7  nights,Air,Miscellaneous
393.3745106,9.523807102,January-March,8-14 nights,Air,Holiday
137.2513063,11.5357453,January-March,8-14 nights,Air,Business
0,13.99999955,January-March,8-14 nights,Air,VFR
262.0006125,27.99998418,January-March,15+  nights,Air,Holiday
45.33294708,28.00001591,January-March,15+  nights,Air,VFR
1110.355645,26.9999797,January-March,15+  nights,Sea,VFR
355.6212483,2.401396959,January-March,1-3  nights,Air,Holiday
691.5688221,1.741936088,January-March,1-3  nights,Air,Business
271.7344903,1.867197941,January-March,1-3  nights,Air,VFR
190.2653352,3.145425727,January-March,1-3  nights,Air,Miscellaneous
215.5369789,2.999995905,January-March,1-3  nights,Tunnel,Holiday
365.5411984,5.772691039,January-March,4-7  nights,Air,Holiday
769.7753894,4.855746412,January-March,4-7  nights,Air,Business
133.908278,4.171917093,January-March,4-7  nights,Air,VFR
3012.00434,8,January-March,8-14 nights,Air,Business
1511.999407,29.9999994,January-March,15+  nights,Air,Business
711.2076782,17.47606152,January-March,15+  nights,Air,VFR
314.8630905,2.607680513,January-March,1-3  nights,Air,Holiday
318.0514521,1.797524141,January-March,1-3  nights,Air,Business
120.1085592,2.694858497,January-March,1-3  nights,Air,VFR
82.70431611,1.086377097,January-March,1-3  nights,Air,Miscellaneous
322.844994,4.147755349,January-March,4-7  nights,Air,Holiday
617.8254163,3.70130569,January-March,4-7  nights,Air,Business
169.2343676,4.645421511,January-March,4-7  nights,Air,VFR
511.9983188,4,January-March,4-7  nights,Air,Miscellaneous
349.4230955,5.951395565,January-March,8-14 nights,Air,Holiday
38.71808313,0.974372418,January-March,8-14 nights,Air,Business
454.2939755,12.23337279,January-March,8-14 nights,Air,VFR
2742.032634,28.74397507,January-March,15+  nights,Air,Business
130.5021608,13.06280499,January-March,15+  nights,Air,VFR
672.6708084,50.37889123,January-March,15+  nights,Air,Miscellaneous
28.99999042,1,January-March,1-3  nights,Air,Holiday
464.9171726,1.304511499,January-March,1-3  nights,Air,Business
87.00021852,1,January-March,1-3  nights,Air,VFR
86.99981459,1,January-March,1-3  nights,Air,Miscellaneous
134.389416,4.253763358,January-March,4-7  nights,Air,Holiday
828.7042878,4.964708014,January-March,4-7  nights,Air,Business
211.999932,4.999999669,January-March,4-7  nights,Air,VFR
124.5376783,3.878919819,January-March,8-14 nights,Air,Holiday
4099.620402,40.9194968,January-March,15+  nights,Air,Business
386.1998178,2.333089332,January-March,1-3  nights,Air,Holiday
303.0326869,1.430150302,January-March,1-3  nights,Air,Business
269.958853,2.467777517,January-March,1-3  nights,Air,VFR
338.5699532,1.60748377,January-March,1-3  nights,Air,Miscellaneous
75.38991273,1,January-March,1-3  nights,Sea,Holiday
73.7559842,1,January-March,1-3  nights,Sea,VFR
